CodParroquia;NomParroquia;CodCanton;;;
216P;SANTA CECILIA;75Can;;;
217P;CHIGUILPE;53Can;;;
218P;EL ANGEL (CABECERA CANTONAL);114Can;;;
219P;LA BONITA;115Can;;;
220P;TAMBILLO;60Can;;;
221P;JUAN MONTALVO (SAN SEBASTIÁN);70Can;;;
222P;SIGCHOS, CABECERA CANTONAL;116Can;;;
223P;LA MANÁ, CABECERA CANTONAL;117Can;;;
224P;PUJILÍ, CABECERA CANTONAL;118Can;;;
225P;RÍO VERDE;53Can;;;
226P;EL CORAZÓN, CABECERA CANTONAL;119Can;;;
227P;TINGO;118Can;;;
228P;SAN MIGUEL DE LOS BANCOS, CABECERA CANTONAL;108Can;;;
229P;MULALÓ;70Can;;;
230P;PAPALLACTA;121Can;;;
231P;PISHILATA;42Can;;;
232P;ZUMBAHUA;118Can;;;
233P;SAN LORENZO, CABECERA CANTONAL;122Can;;;
234P;IZAMBA;42Can;;;
235P;BAEZA, CABECERA CANTONAL;121Can;;;
236P;CUTUGLAHUA;60Can;;;
237P;CARBO (CONCEPCIÓN);5Can;;;
238P;CHUGCHILLÁN;116Can;;;
239P;SAN JUAN DE PASTOCALLE;70Can;;;
240P;IGNACIO FLORES (PARQUE FLORES) ;70Can;;;
241P;SAN BUENAVENTURA;70Can;;;
242P;BARTOLOMÉ RUIZ (CÉSAR FRANCO CARRIÓN) ;93Can;;;
243P;ULBA;91Can;;;
244P;SAQUISILÍ, CABECERA CANTONAL;123Can;;;
245P;ATOCHA – FICOA;42Can;;;
246P;PUERTO BOLÍVAR (PUERTO MONTÚFAR);110Can;;;
247P;YARUQUÍ;4Can;;;
248P;EL QUINCHE;4Can;;;
249P;HUACHI LORETO;42Can;;;
250P;ALAQUEZ (ALAQUES);70Can;;;
251P;TARAPOA , CABECERA CANTONAL;124Can;;;
252P;EL TRIUNFO;48Can;;;
253P;MULLIQUINDIL (SANTA ANA);120Can;;;
254P;SAN ANTONIO;4Can;;;
255P;PIFO;4Can;;;
256P;GUAMOTE, CABECERA CANTONAL;125Can;;;
257P;RÍO NEGRO;91Can;;;
258P;QUERO, CABECERA CANTONAL;126Can;;;
259P;BELISARIO QUEVEDO (GUANAILIN);70Can;;;
260P;EL PANGUI, CABECERA CANTONAL;127Can;;;
261P;TIPUTINI;128Can;;;
262P;SAN JOSÉ DE CHALTURA;113Can;;;
263P;IGNACIO FLORES (PARQUE FLORES);70Can;;;
264P;TOACASO;70Can;;;
265P;LLANO CHICO;4Can;;;
266P;PICAIGUA;42Can;;;
267P;CHAMBO, CAB CANTONAL;129Can;;;
268P;GUAYLLABAMBA;4Can;;;
269P;ALAUSÍ, CABECERA CANTONAL;130Can;;;
270P;CAJABAMBA;131Can;;;
271P;SAN ANDRES;132Can;;;
272P;BELLAMARIA;133Can;;;
273P;CEBADAS;125Can;;;
274P;CAÑI;131Can;;;
275P;MALDONADO;155Can;;;
276P;JAMA, CABECERA CANTONAL;134Can;;;
277P;VELOZ;54Can;;;
278P;MONTALVO;42Can;;;
279P;TABABELA;4Can;;;
280P;12 DE MARZO;85Can;;;
281P;VILLA LA UNION (CAJABAMBA) (CABECERA CANTONAL);131Can;;;
282P;BAHÍA DE CARÁQUEZ, CABECERA CANTONAL;73Can;;;
283P;MERA;98Can;;;
284P;CUMANDÁ, CABECERA CANTONAL;135Can;;;
285P;SHELL;98Can;;;
286P;EL PARAÍSO;17Can;;;
287P;CHUNCHI, CABECERA CANTONAL;136Can;;;
288P;LA MERCED;4Can;;;
289P;PALLATANGA, CABECERA CANTONAL;137Can;;;
290P;JUAN DE VELASCO (PANGOR);131Can;;;
291P;NUEVO ROCAFUERTE;128Can;;;
292P;PINTAG;4Can;;;
293P;SANTA ELENA, CABECERA CANTONAL Y CAPITAL PROVINCIAL;140Can;;;
294P;GUANO, CABECERA CANTONAL;132Can;;;
295P;BELLA VISTA;33Can;;;
296P;PUEMBO;4Can;;;
297P;YARUQUÍES;54Can;;;
298P;PANSALEO;120Can;;;
299P;GENERAL ANTONIO ELIZALDE (BUCAY), CABECERA CANTONAL;138Can;;;
300P;DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE);112Can;;;
301P;EL ROSARIO;27Can;;;
302P;PELILEO, CABECERA CANTONAL;139Can;;;
303P;SAN JUAN;195Can;;;
304P;LA PROVIDENCIA;132Can;;;
305P;CALPI;54Can;;;
306P;PISTISHI (NARIZ DEL DIABLO);130Can;;;
307P;SIBAMBE;130Can;;;
308P;PUERTO MISAHUALLI;7Can;;;
309P;ROCAFUERTE;196Can;;;
310P;DOCTOR CAMILO PONCE ;87Can;;;
311P;MACARÁ, CABECERA CANTONAL;141Can;;;
312P;SANTA ROSA (CABECERA CANTONAL);133Can;;;
313P;JAMBELÍ;133Can;;;
314P;EL GUABO, CABECERA CANTONAL;142Can;;;
315P;TORATA;133Can;;;
316P;11 DE NOVIEMBRE (ILINCHISI);70Can;;;
317P;BALSAS, CAB CANTONAL;143Can;;;
318P;NUEVE DE MAYO;39Can;;;
319P;MARCABELI, CAB CANTONAL;144Can;;;
320P;LA IBERIA;142Can;;;
321P;SARACAY;88Can;;;
322P;GONZALO PIZARRO;115Can;;;
323P;DAYUMA;31Can;;;
324P;LA PENÍNSULA;42Can;;;
325P;PORTOVELO, CAB CANTONAL;147Can;;;
326P;PALMALES;74Can;;;
327P;UZHCURRUMI;15Can;;;
328P;CLEMENTE BAQUERIZO;87Can;;;
329P;LA VICTORIA, CAB CANTONAL;148Can;;;
330P;PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;104Can;;;
331P;ELOY ALFARO (DURÁN), CABECERA CANTONAL;104Can;;;
332P;TISALEO, CABECERA CANTONAL;149Can;;;
333P;BALAO, CABECERA CANTONAL;150Can;;;
334P;PINDAL, CABECERA CANTONAL;151Can;;;
335P;LA BOCANA;88Can;;;
336P;PUERTO JELÍ;133Can;;;
337P;LUMBAQUÍ, CABECERA CANTONAL;145Can;;;
338P;SINSAO;69Can;;;
339P;HUALTACO;17Can;;;
340P;VALLE HERMOSO;53Can;;;
341P;LA SUSAYA;88Can;;;
342P;MOROMORO (CAB. EN EL VADO);88Can;;;
